trace,base,rho_cpu_net,r2_mu,r2_sigma,alpha,gamma
fastStorage,285.csv,0.5573112019052443,0.0182920463361482,0.0799617513507398,-0.0002298008850698,0.6231512048643032
fastStorage,128.csv,0.04711718902472572,0.3008016005483022,0.0066518907437471,0.0002786627882557,-0.0135682446815042
fastStorage,896.csv,0.5384216382569825,0.9551766341496049,0.4250810335032349,0.0001766141818602,-0.3358891142417559
fastStorage,609.csv,0.5912563099821029,0.0307945635764775,0.0404701349110073,0.0178206623228796,-0.4806337879557578
fastStorage,323.csv,0.6059347946910802,0.1067541049189835,0.1092925392525846,0.0118924153901181,-0.1508383535050752
fastStorage,50.csv,0.21310351213006548,0.0436865370994667,0.5749716656512553,0.0444493857994187,-0.0287057409930579
fastStorage,978.csv,0.5173531766174252,0.0229219496876121,0.0245136431314539,0.0016288066591354,-2.871950342954648
fastStorage,734.csv,0.7979585990523218,0.9706249391433874,0.787988558893428,0.1298193888326972,-0.1728655611869854
fastStorage,177.csv,0.15807252989421358,0.0008465865901129,0.0044654634248137,-0.1206237178589843,7.431081109087725e-05
fastStorage,873.csv,0.6912465409036992,0.4890533451195271,0.000410780839005,0.1283026243489524,-4.036233725328425e-05
fastStorage,1129.csv,0.050058853939120386,0.0015742808970907,3.0881528664705726e-05,0.1020883182260331,0.0002944179026252
fastStorage,448.csv,0.3405793233320947,0.4908365176120453,0.8451460178542007,0.0136761459168809,-1.1657130124643866
fastStorage,336.csv,0.3337082868423201,0.3233019894952912,0.6814760835144962,0.0161674615480921,-0.2175693999982703
fastStorage,387.csv,0.5428237868724586,0.0757704473828845,0.1120762623201326,0.0003270349874133,-0.9585354435328842
fastStorage,653.csv,0.49611396663776347,0.1698102785897375,0.1048254862764203,0.067360878642172,-0.806300185414269
fastStorage,911.csv,-0.8586680309113265,0.3281219244858597,0.4416544395502551,-0.2051212450249654,-0.0734271601721439
fastStorage,1106.csv,0.23367229791427738,0.3160848563117689,0.4608341340443038,0.001086603841939,-0.2777428959690562
fastStorage,494.csv,0.6285762075009117,0.5791022752180455,0.0610270702077186,0.0339656269150977,-0.240289423427143
fastStorage,262.csv,0.6195308414466552,0.0135605966210051,0.0014587153774582,0.0002451730332958,0.0107010270298992
fastStorage,863.csv,0.17356609558473554,0.0438268782449876,0.0507476834355251,0.0196550512246734,-0.0003101202407129
fastStorage,804.csv,0.5037822819598409,0.1555978377477666,0.3469581798697077,0.0462772692104607,0.0630781081979021
fastStorage,288.csv,0.6143582595501796,0.3420879814351402,0.0387054800599577,0.0017441249049131,-1.4368407197219868
fastStorage,324.csv,0.4725664088704608,0.0324262092869565,0.0120408030444365,0.1147213253988908,-0.0123399070803956
fastStorage,1182.csv,0.020931249992028222,0.0039088372703534,0.3283542631455426,10.949377677678298,0.0247854663269739
fastStorage,90.csv,0.1814862739293425,0.0164843812757607,0.029258357955225,-0.1543466382596084,-0.0045931963465507
fastStorage,992.csv,0.48037933655882964,0.498498406170466,0.4628557750796902,0.0923493379448257,-0.0688056995158412
fastStorage,189.csv,0.5413946553104273,0.1474715592972062,0.0299160526716428,0.0007785453723114,-0.0314968027034201
fastStorage,113.csv,0.2773647201330338,0.8155291041215097,0.6645154325985025,0.0003887771130801,-0.6508837640924372
fastStorage,973.csv,0.6983582692876911,0.6821170203417636,0.7123362418460084,0.00436677447715,-8.929325794554027
fastStorage,630.csv,0.6067134441692243,0.213317662798643,0.0051969682069266,0.0695007275051717,-0.1576400090188598
fastStorage,542.csv,0.04582314946971482,0.0211376455311635,0.3002747086990592,-0.0119391863757889,-0.1963144394047086
fastStorage,112.csv,0.5718823462256776,0.0236316750823557,0.0599382164063088,0.0001592996596762,-2.9629338486745924
fastStorage,868.csv,0.4723290423626887,0.5463661909285435,0.362278043984087,0.0065760518708647,-0.4773416822224083
fastStorage,1057.csv,0.005218254699103326,0.425537533878178,0.5967434005471769,0.0006089850667076,-0.0458427435926837
fastStorage,1100.csv,0.02327132815190429,0.2833022590881744,0.1883938101924978,0.024047899451275,-0.0014498408247999
fastStorage,562.csv,0.14625706960860121,0.0038625882850968,0.0193313543240617,-0.0021982794043102,-0.0716052502685581
fastStorage,675.csv,0.12811043061101338,0.9580190879725604,0.7698020797492886,0.0065640904764761,-1.1993876414028557
fastStorage,1053.csv,0.06026781033314645,0.8285376221863675,0.7385234942203334,0.0037497125669713,-0.2620382210296864
fastStorage,1204.csv,0.03806916875237149,0.7815145054111915,0.5371133392467072,0.0021439256307865,-0.0127127854331237
fastStorage,507.csv,0.6050060063320659,0.5033781182040614,1.5301565114200777e-05,0.0489496821525298,-0.0032505340021528
fastStorage,267.csv,0.5898266241698265,0.0033674001891282,0.0337841410770093,0.0001190608050656,0.5951531020793688
fastStorage,155.csv,0.1204015961416893,0.0971393581699862,0.0265767061392837,0.0016959622081177,-0.1501794880651634
fastStorage,452.csv,0.6496348364377439,0.7702569900625489,0.8795866652715486,0.0154765821561141,-1.38799270836485
fastStorage,951.csv,0.5734839084960275,0.9820960592818492,0.5388840263879042,0.0187514346994741,-0.0509284225303057
fastStorage,362.csv,0.14537550515029302,0.3083194132211049,0.3306581526910204,0.0177848727906947,-0.0011112731975477
fastStorage,622.csv,0.44732335134951545,0.1234334663828999,0.0894245438912146,0.0394389174798492,-0.6952209267753943
fastStorage,794.csv,0.86409541773072,0.0034102101935173,0.4209721656430136,0.0137877145875683,0.564096681251694
fastStorage,546.csv,0.7300465182232541,0.8193143698213415,0.1631158192287239,0.0913724978210747,1.8826526887127468
fastStorage,375.csv,0.48803553563920554,0.4000088343749274,0.0001888256479724,0.0844235398591565,0.0267376767631617
fastStorage,178.csv,0.10417614063063646,0.8230419306587046,0.4572310035755869,0.0743838803130852,-0.02421638126435
fastStorage,361.csv,-0.22349030588837884,0.1158731148436407,0.1231298875236702,0.0206369619606809,-0.0131316091417088
fastStorage,306.csv,0.12400250457118206,0.5675674904163714,0.0005258436900369,0.0046938762079347,0.0007797222854349
fastStorage,783.csv,0.5580265539157926,0.2518135076980841,0.0863300607543345,0.0387905221835856,-0.0431965280707279
fastStorage,393.csv,0.5979099340286551,0.8865635866419492,0.7790185760257378,0.0176437128899231,-0.7030544631830421
fastStorage,663.csv,0.6006285772008711,0.6683209868124314,0.0361135762967722,0.0642157890813629,-0.2564362148632435
fastStorage,894.csv,0.6666357212443342,0.2409210666983801,0.1631443909214177,0.0003203082949611,-0.047505145421617
fastStorage,1047.csv,0.0748215826131419,0.2341243317737199,0.0017770714235284,0.0040314153382644,-0.0208937165900603
fastStorage,540.csv,0.6091629880512331,0.9790947181390616,0.5858452428056853,0.0637526408367654,-0.0705999156488706
fastStorage,276.csv,0.548475625031322,0.0269974222492561,0.024993108060878,-0.0002626379882209,0.3046103757816037
fastStorage,386.csv,0.43746124422169486,0.6086953941272727,0.0748762741883679,0.0564249856325753,-0.3756932587288542
fastStorage,80.csv,0.10091656205584364,0.0067355092622454,0.3115718654804129,0.0274621934003683,-0.0883601326662179
fastStorage,75.csv,0.6638610056378024,0.0099824843027258,0.0002601812527771,-0.0209357803028465,0.016422064330191
fastStorage,889.csv,0.3728428586899152,0.927026431379368,0.1498177117132462,0.0003692009689727,-0.0078666892740027
fastStorage,72.csv,-0.020238131247483915,0.0092172350360653,0.1845502750579487,0.0024015781181299,-0.0132167095016938
fastStorage,77.csv,0.6079285318070082,0.0035532546092272,1.1320067361264563e-06,-0.017219200786976,-0.0006899490764911
fastStorage,266.csv,0.599951884972867,0.0719478754384461,0.0029569838596517,0.0007542192060754,0.1784389689899001
fastStorage,923.csv,0.7355133182492625,0.9178075055967542,0.8423351011220164,0.0007567085871048,-9.88629445023644
fastStorage,24.csv,0.17097302229823344,0.0243770956539132,0.2710677395854213,0.0010095654878948,-0.0642360153795781
fastStorage,1082.csv,-0.00819078921474312,0.0312012239781429,0.1181958224994422,-0.1292167227688761,-0.000127064669079
fastStorage,709.csv,0.2803666574793378,0.2790536935326158,0.516229693535691,0.1335449965517842,-1.2864536208407855
fastStorage,331.csv,0.9472062018823626,0.0316673633535283,0.2677283473139139,2.217822223030865e-05,-6.123417646973639
fastStorage,862.csv,0.15104364367007636,0.1831736559912349,0.2705154045411789,0.0118072085715333,-0.0023352034458342
fastStorage,222.csv,0.7858240684603998,0.4445325118877495,0.008863482027814,0.0019952723860276,-0.5517234863779323
fastStorage,681.csv,0.37656072346086816,0.0204521768713761,0.0005331808756673,-0.0321969925008416,-0.0021975874302307
fastStorage,320.csv,0.5088276517611219,0.3334167421876668,0.3509839113711057,0.2029818420382393,-0.0315161549382463
fastStorage,987.csv,0.09110751240984255,0.82917285110584,0.5647237411546132,0.048911364468667,-0.2668476400942517
fastStorage,612.csv,0.6057143475148877,0.2001086849405454,0.0373150777439302,0.0439175870411821,-0.3477517487926457
fastStorage,1172.csv,-0.04967959432072813,0.0154720993060798,0.0729376821021406,-0.006393210697639,-0.0633072285313089
fastStorage,1116.csv,0.004585789171654975,0.0014931793319991,0.0011506249603132,0.0313068172647966,0.0003071832096487
fastStorage,647.csv,0.5882679719469127,0.3311953516109613,0.0107789199961413,0.0328387545366401,-0.1128850879544767
fastStorage,293.csv,0.4341908442485227,0.7009385554700533,0.1455394483100006,0.0040935843187478,-0.1544441266826908
fastStorage,278.csv,0.6350846022259498,0.6977878036748981,0.6139875906467661,0.0030876967534928,-4.2419549088047575
fastStorage,865.csv,0.2874632024940167,0.5360004388631792,0.540762616593619,0.0042569606770189,-0.2461235963259942
fastStorage,413.csv,0.10844139937109819,0.9093057006872386,0.8706738024025718,0.0225730737366269,-0.8404500501702044
fastStorage,736.csv,0.13349495707939824,0.0578432047053607,0.0949926519603481,0.0537834575087314,0.0212760062683331
fastStorage,499.csv,0.6961972042457821,0.5157239061263246,0.0030119088028971,0.0430341087185182,0.0515065871350496
fastStorage,456.csv,0.514343688459396,0.7431616248527546,0.8484279307960113,0.0151869415036947,-1.2328615106058185
fastStorage,997.csv,0.46728405197101763,0.7098297397702233,0.0305947032242767,0.0017778043564653,-0.6202137274015649
fastStorage,163.csv,0.06456555017087227,1.3739550057789708e-05,0.0216811866142921,0.0005600872312733,-0.0020794362138445
fastStorage,615.csv,0.5222460461823897,0.383795980725777,0.044682385668308,0.090906303424788,0.4562749011882053
fastStorage,849.csv,0.11585112414340588,0.2755118138267393,0.2348646759451613,0.0294675381034299,-0.0012690056625188
fastStorage,1166.csv,0.0004239381355268332,0.0102677215736544,0.0009885712867451,0.0011702262061852,0.0008957154989163
fastStorage,855.csv,0.8459720600452967,0.8462817205583324,0.0848440514338203,0.1258598828845897,0.1276146373387996
fastStorage,25.csv,0.5464239538972985,0.0819983413916718,0.0718957180789662,0.0014000789313039,-0.0419435351913676
fastStorage,215.csv,0.5622602514989835,0.454747605561938,0.2972998079989539,0.0016970486969258,-0.0987172727798791
