vm,n_test,A_lognorm_ctop,A_empirical_p998,A_gauss_meanksd,A_rolling_max
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/15.csv,1700,0.9970588235294118,0.9958823529411764,0.9952941176470588,0.9970588235294118
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/150.csv,1698,0.5812720848056537,0.582449941107185,0.5671378091872792,0.6148409893992933
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/152.csv,1698,0.9776207302709069,0.9817432273262662,0.9734982332155477,0.9852767962308598
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/155.csv,1697,0.8444313494401886,0.7819681791396582,0.7684148497348262,0.8391278727165586
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/156.csv,1698,0.997055359246172,0.9964664310954063,0.9917550058892816,0.9988221436984688
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/158.csv,1700,0.9888235294117647,0.9752941176470589,0.9729411764705882,0.9847058823529412
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/159.csv,1700,0.9805882352941176,0.97,0.9676470588235294,0.9764705882352941
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/160.csv,1696,0.9652122641509434,0.964622641509434,0.9510613207547169,0.9846698113207547
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/167.csv,1697,0.9829110194460813,0.9882144961697112,0.9793753682969947,0.9941072480848556
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/168.csv,1697,0.9988214496169712,0.9941072480848556,0.9982321744254566,0.9988214496169712
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/170.csv,1702,0.8965922444183314,0.9512338425381903,0.854876615746181,0.9712103407755581
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/172.csv,12,1.0,1.0,1.0,1.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/177.csv,1702,0.9947121034077556,0.9377203290246768,0.9083431257344301,0.963572267920094
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/18.csv,1701,0.9905937683715461,0.9964726631393298,0.9900058788947678,0.9970605526161082
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/181.csv,1700,0.7229411764705882,0.8258823529411765,0.7770588235294118,0.8264705882352941
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/187.csv,1702,1.0,0.999412455934195,1.0,0.999412455934195
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/188.csv,1591,1.0,0.9748585795097423,0.9094908862350722,0.9880578252671276
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/189.csv,1217,0.9991783073130649,0.9786359901396877,0.9720624486442071,0.9786359901396877
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/19.csv,1395,0.9992831541218637,0.9992831541218637,0.9992831541218637,0.9992831541218637
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/191.csv,942,0.9989384288747346,0.9925690021231423,0.9798301486199575,0.9978768577494692
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/193.csv,1632,1.0,0.9993872549019608,1.0,0.9993872549019608
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/195.csv,1402,1.0,1.0,1.0,1.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/196.csv,1413,1.0,0.9950460014154282,1.0,0.9964614295824487
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/198.csv,1697,0.995875073659399,0.99469652327637,0.995875073659399,0.99469652327637
