trace,vm,n_bins,gamma,r2_sigma,rho_cpu_net,rho_lam_sigma,rho_lam_sb,rho_lam_sw,med_frac_between,frac_between_hi,frac_between_lo,bimodal_share,bimodal_hi,bimodal_lo,rho_lam_frac90,max_frac90,max_p95,rho_lam_skew,med_skew_hi,mean_io,mean_net,mean_sigma
fastStorage,1044.csv,24,-0.6975274451508103,0.7035622489094799,,0.5756521739130435,0.36347826086956525,0.5139130434782608,0.2893034877255745,0.2857565382577478,0.2981303767060193,0.875,0.75,0.875,,0.0,3.2,0.6,-1.0648929439666113,1.164602617471288,14.573161257181818,0.37839971271473394
fastStorage,879.csv,24,-0.3297625780008035,0.8568963192151431,,0.4782608695652173,0.15652173913043477,0.45826086956521733,0.41835803848058095,0.21506614414228192,0.45338890750805017,0.9583333333333334,1.0,1.0,,0.0,12.133333333333333,0.39739130434782605,2.291657987034456,728.4692638942724,2.3475172060156395,0.11003107841960164
fastStorage,1057.csv,24,-0.0458427435926837,0.5967434005471769,0.0052182546991033,0.5034782608695652,0.5826086956521739,0.47391304347826085,0.031244223601778635,0.07122210571723511,0.02339225434906832,0.8333333333333334,0.75,0.875,,0.0,1.0666666666666669,0.49391304347826087,2.2886136611154178,0.21999741947625487,3.4003094975477666,0.12419325417405488
fastStorage,1053.csv,24,-0.2620382210296864,0.7385234942203334,0.0602678103331464,0.44260869565217387,0.4234782608695652,0.4408695652173913,0.023240612099998482,0.03070602426714592,0.018456114016117613,0.75,0.875,0.75,,0.0,1.4,0.11913043478260868,0.07059827953749574,0.22310894248351665,5.770259056848462,0.12636932075382895
fastStorage,96.csv,24,-0.2275470968743021,0.8315899460663521,0.5190701768895719,0.7408695652173911,0.5408695652173913,0.717391304347826,0.6307589105521877,0.5420639089692771,0.7215319897551187,0.75,0.625,1.0,,0.0,1.4266666666666556,0.7208695652173912,1.8621300901600815,10.150443284434761,1.9594871711055963,0.42498449194581345
fastStorage,50.csv,24,-0.0287057409930579,0.5749716656512553,0.2131035121300654,0.7608695652173912,0.6417391304347826,0.8321739130434782,0.8849659495668714,0.9050440595575329,0.546071929614169,0.25,0.0,0.625,,0.0,12.4,-0.12,-6.404874108908227,48.81123963614232,0.06416420796305018,0.31178374772933987
fastStorage,987.csv,24,-0.2668476400942517,0.5647237411546132,0.0911075124098425,0.5704347826086955,0.0008695652173913043,0.6913043478260869,0.37426112213893725,0.2966437769729089,0.3938637607438549,0.041666666666666664,0.125,0.0,,0.0,13.570000000000002,0.588695652173913,0.5728654826465539,12.011936728395062,1.1568132716049384,0.11678248968570128
fastStorage,413.csv,24,-0.8404500501702044,0.8706738024025718,0.1084413993710981,0.8956521739130434,0.6826086956521739,0.8052173913043478,0.8172675182604066,0.38978327230714405,0.8528734742083733,0.4166666666666667,0.0,1.0,,0.0,2.3,0.8408695652173912,4.827678448999064,10.165194258675365,3.8754338998156457,0.11559190807536482
fastStorage,406.csv,24,-0.6843496714029594,0.8030843016192164,,0.6904347826086955,-0.6739130434782608,0.8895652173913042,0.9230968166531454,0.37448734069450007,0.9507950093583177,0.8333333333333334,0.5,1.0,,0.0,2.1008333333333336,0.7965217391304347,3.773405254415714,10.478854685865592,3.880374201433239,0.17539801185556728
fastStorage,709.csv,24,-1.2864536208407855,0.516229693535691,0.2803666574793378,0.4756521739130434,0.33391304347826084,0.6747826086956521,0.8096651785809958,0.7473788596953586,0.8576857643191179,1.0,1.0,1.0,0.5514242356926398,0.31197771587743733,95.77000000000001,-0.5539130434782608,0.4286118960746405,10.176083823144042,5.279274948692895,2.683081333410409
fastStorage,113.csv,24,-0.6508837640924372,0.6645154325985025,0.2773647201330338,0.2504347826086956,-0.11130434782608695,0.5191304347826087,0.8313099063845613,0.6315681583289598,0.8559711203635987,0.4166666666666667,0.375,0.625,,0.0,4.2749999999999995,0.6904347826086955,3.8048154857612246,8.978976761057439,23.70252473704141,0.1328457474518177
fastStorage,278.csv,24,-4.2419549088047575,0.6139875906467661,0.6350846022259498,0.7591304347826088,0.5539130434782608,0.5443478260869564,0.7764940877151796,0.735326424574318,0.7970967122789041,1.0,1.0,1.0,0.5156521739130434,0.15319148936170213,99.03750000000001,-0.8782608695652172,0.5623747835189277,3.8873418652169778,171.1465761627776,2.1360594391500953
fastStorage,455.csv,24,-1.476698494315876,0.9203220473277772,,0.9575995007848523,0.9436834317452905,0.926288345445838,0.395945405294638,0.38700042152386327,0.7453511757142219,0.4583333333333333,0.0,1.0,,0.0,3.6675000000000004,0.6370950357174426,5.894635940100164,10.992351248452936,4.560932524674989,0.13999321410975973
fastStorage,919.csv,10,-7.525968230443329,0.7790003212744137,,0.2606060606060606,0.17575757575757575,0.35757575757575755,0.31607071602653647,0.3075642836485404,0.3133733765817844,0.4,0.6666666666666666,0.6666666666666666,,0.0,8.079999999999995,-0.04242424242424241,-0.05894444073302674,0.34181589605370377,346.4172773771909,1.2812226203220194
fastStorage,453.csv,24,-1.201736593904006,0.8761777581901214,,0.9086956521739129,0.6791304347826086,0.9121739130434783,0.6049776795956439,0.43624742272152894,0.9154384577220964,0.25,0.0,0.5,,0.0,4.066666666666666,0.7617391304347826,4.545540134414754,10.986843914060316,4.880131153687034,0.166093024048119
fastStorage,951.csv,24,-0.0509284225303057,0.5388840263879042,0.5734839084960275,0.9008695652173913,0.7808695652173911,0.9208695652173912,0.35385199502401987,0.04568243168004338,0.901851823414219,0.9583333333333334,1.0,1.0,0.437880269519857,0.011204481792717087,76.24333333333331,-0.6008695652173912,0.8618633761903811,3548.8992761305285,16.575492229029663,0.2714704159312391
fastStorage,540.csv,24,-0.0705999156488706,0.5858452428056853,0.6091629880512331,0.96,0.9660869565217389,0.9365217391304346,0.3629743231479167,0.40886039596097307,0.3109284251289703,0.8333333333333334,1.0,0.5,,0.0,6.276666666666663,-0.917391304347826,1.4486087610479768,14.318057330033731,2.151285657094792,0.24776882629738206
fastStorage,973.csv,24,-8.929325794554027,0.7123362418460084,0.6983582692876911,0.797391304347826,0.6113043478260869,0.7026086956521739,0.939797079921121,0.8717857106534469,0.974378293216657,0.5,0.75,0.375,0.6605798729642626,0.03333333333333333,31.419166666666683,-0.6956521739130433,2.2506696323991306,779.7815838662685,143.03599865381057,0.577578022994963
fastStorage,1115.csv,24,-0.0270813075036481,0.5326267247403342,0.071532169967455,0.8295652173913043,0.8113043478260868,0.8034782608695652,0.059947285616123974,0.15790920483098114,0.022418365058491985,0.5833333333333334,0.625,0.75,,0.0,1.1433333333333318,0.5860869565217391,3.1569805756079496,0.21579900298609386,6.066357214201461,0.13297794270571628
fastStorage,583.csv,24,-0.0797770298220721,0.6951488880429467,,0.8417391304347825,0.6947826086956521,0.8347826086956521,0.6470621913524499,0.49208809212558924,0.7134204044829267,0.9583333333333334,1.0,0.875,,0.0,7.813333333333333,0.8330434782608694,0.40182361965667296,36.82029555619226,27.30031630780663,0.6461325358679684
fastStorage,336.csv,24,-0.2175693999982703,0.6814760835144962,0.3337082868423201,0.3878260869565217,-0.05130434782608695,0.6339130434782608,0.5988096753367043,0.5230660604629781,0.6606209339666921,0.75,0.625,0.75,,0.0,0.6666666666666667,0.5191304347826087,1.8562896201273404,7.129344278893343,0.9681282633474341,0.2974955249355007
fastStorage,414.csv,24,-0.9085843347573224,0.8599136899875652,,0.9095652173913044,0.8826086956521739,0.874782608695652,0.7109285963732954,0.24482437169040994,0.7417333662971699,0.5416666666666666,0.0,1.0,,0.0,1.8508333333333336,0.6930434782608694,6.3299113816677925,10.471764491206368,3.861509914061662,0.0797653753122192
fastStorage,675.csv,24,-1.1993876414028557,0.7698020797492886,0.1281104306110133,0.9617391304347825,0.9356521739130433,0.4530434782608695,0.7217979298099617,0.7632005490686897,0.6719562403927029,0.9166666666666666,0.875,1.0,0.4873955886992211,0.008333333333333333,50.58333333333334,0.4904347826086956,1.2435715987290497,56.31363931406704,30.636453470293517,0.6504210822584204
fastStorage,1003.csv,24,-7.230643908547323,0.936223065116142,,0.7573913043478261,0.7086956521739128,0.7226086956521738,0.910691441445519,0.8804255355489443,0.9442057167753837,0.5,0.875,0.25,0.34641016151377546,0.008547008547008548,59.066666666666656,0.6834782608695652,1.5308180580961392,46.171286530104304,376.7019921616206,0.5561218456538632
fastStorage,423.csv,24,-1.4570647844160145,0.8651469521179875,,0.8991304347826086,0.877391304347826,0.8834782608695652,0.4777375615836084,0.35357213382462405,0.8230428471870741,0.125,0.0,0.125,,0.0,3.1341666666666668,0.6217391304347826,5.544399727685354,10.879248777721036,4.584692565165644,0.17512746685734906
fastStorage,774.csv,24,-0.3967611152845565,0.6870924170102375,0.7907992277207312,0.8791304347826084,0.7834782608695651,0.8521739130434782,0.3475723865047194,0.470762155937639,0.31130958900981853,0.2916666666666667,0.5,0.25,0.28466750440835425,0.008333333333333333,8.476666666666668,0.7730434782608695,3.5288517933527657,32.52554420401058,2.4373443684903715,0.24011991073928046
fastStorage,1204.csv,24,-0.0127127854331237,0.5371133392467072,0.0380691687523714,0.5730434782608694,0.5199999999999999,-0.013913043478260868,0.03460409065782024,0.2619311508746116,0.033389840655282846,0.8333333333333334,0.875,0.875,,0.0,1.0666666666666669,0.5017391304347826,1.8327006818229767,0.20572762546531134,2.5365475591253848,0.12936770588737523
fastStorage,448.csv,24,-1.1657130124643866,0.8451460178542007,0.3405793233320947,0.8582608695652173,0.6365217391304347,0.8973913043478261,0.732140323472368,0.486054981737705,0.9318720396630251,0.5833333333333334,0.125,0.875,,0.0,3.4508333333333336,0.7417391304347827,4.8099312658121,10.55103791683061,4.520606491747695,0.18651154499527106
fastStorage,1037.csv,24,-11.01366765401782,0.8372103901346294,,0.6226086956521739,0.5452173913043478,0.617391304347826,0.12384295785638336,0.281898196487951,0.1186839431956114,0.5,0.75,0.5,,0.0,65.78999999999996,0.7295652173913043,0.5841711577589208,1.1730303807196685,647.3888419935164,0.6801442010139878
fastStorage,895.csv,24,-0.377646586892129,0.608571678128073,,0.6565217391304347,0.45217391304347826,0.6617391304347826,0.3736858170616135,0.11017941656865238,0.45409330853918123,0.625,0.75,0.625,,0.0,70.34666666666666,0.07130434782608694,1.1785214065943859,4785.106068918014,1516.0424088382897,0.09528421442249199
fastStorage,1010.csv,24,-0.0917994817559056,0.6458908030664055,,0.8565217391304346,0.49217391304347824,0.6191304347826087,0.4987331300993315,0.4540766457063259,0.45099403516808445,0.2916666666666667,0.125,0.5,,0.0,1.4,0.37217391304347824,0.07890702077476508,1.695835443050503,1.1363914942159274,0.5755000658702676
fastStorage,769.csv,24,-0.0837371428884784,0.8172727086539605,,0.49031987817572936,0.3484882186501856,0.4824886822510061,0.16047391681783568,0.13055161428212528,0.19148499212814185,0.041666666666666664,0.125,0.0,,0.0,3.6033333333333344,0.10050034770061533,9.159185842629691,5.749274930594605,0.04483721302986638,0.08998014049809154
fastStorage,745.csv,24,-0.3471774069632566,0.797386320715058,,0.58,0.3652173913043478,0.47913043478260864,0.933727487003519,0.8031627768511416,0.9445601738594195,1.0,1.0,1.0,,0.0,1.4349999999999992,0.1469565217391304,1.1948105479789812,27.44938420512963,3.5685236762045585,0.32661950462067124
fastStorage,734.csv,24,-0.1728655611869854,0.787988558893428,0.7979585990523218,0.8521739130434782,0.7843478260869564,-0.40869565217391296,0.6781628287158477,0.917915423289616,0.5139493760507103,0.625,1.0,0.5,,0.0,24.226666666666663,-0.6678260869565217,-1.2594272304877805,110.46508145732237,5.687321864823622,0.9440333947451134
fastStorage,1179.csv,24,-0.0031267744726492,0.6556225389250254,,0.4920820847444059,0.4104031536711848,0.502124576269802,0.02412734263859883,0.02412734263859883,0.022944490483720596,0.75,0.75,0.8,,0.0,1.0666666666666669,0.5751000146876799,0.09319660949915431,0.19608068824578914,0.10746594189094805,0.12401815038490435
fastStorage,1091.csv,24,-9.100036506243883,0.9656584310284608,,0.9260869565217391,0.6591304347826087,0.8852173913043477,0.09734635285908724,0.06942814045126307,0.23336887566419934,0.5833333333333334,1.0,0.0,,0.0,13.733333333333333,0.48521739130434777,-0.035513278206651365,1.7073970098103322,276.8416347250632,1.7288056324765249
fastStorage,870.csv,24,-0.9914393772428264,0.6162114711556668,,0.8478260869565216,0.38,0.8739130434782607,0.15786970659866892,0.16094584797892392,0.15157457216277548,1.0,1.0,1.0,,0.0,6.939999999999998,-0.4434782608695652,1.165691100979524,318.2493230692177,50.32587123968014,0.34467453056969666
fastStorage,1025.csv,24,-41.99658939411039,0.9845427002587674,0.628077658250871,0.9486956521739129,0.8791304347826084,0.4313043478260869,0.9599228684765089,0.9630405186134259,0.9612088496773032,1.0,1.0,1.0,-0.27106873827419714,0.005571030640668524,57.679999999999986,-0.826086956521739,1.0176125238698264,0.22560538233353947,3026.051124988024,1.4126682075008683
fastStorage,593.csv,24,-2.2672951839345203,0.6939898790353245,,0.8991304347826086,0.5939130434782608,0.8417391304347825,0.9918968025620951,0.8235003620889283,0.99265196549111,0.5416666666666666,0.75,0.125,0.5978629954785775,0.08055555555555556,90.66666666666666,0.08,4.297781388771297,923.3599640560027,5.735062634907667,0.29395201516667613
fastStorage,159.csv,24,-0.0012298870373477,0.7018946648856734,0.1130869818729651,0.3521567028238878,0.24035029717447853,0.41843714689150163,0.8191910765847974,0.8191910765847974,0.8264798079440705,1.0,1.0,1.0,,0.0,6.0,0.03615296949142574,1.4862614673148262,12.440801155397217,0.017660085165629526,0.14792115956213436
