vm,n_bins,alpha_mu,r2B,r2C,r2P,aiccB,aiccC,aiccP,alpha_B,alpha_C,c_C,c_P,lam_min,lam_max,lam_gmean
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1044.csv,24,0.0022169797240066,0.8156169308337691,0.8156169308340079,0.6172661958781205,-128.7999292223385,-126.17135779379818,-111.27214774966133,0.06602826753052983,0.06602825248624428,1.4884101903103863e-14,0.004212091864830019,2.317221625492303,211.26012269938647,4.313309330593303
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/879.csv,24,0.0069320759382852,0.7468703898492041,0.7468703898470446,0.6919463389644029,-135.11040660892152,-132.48183518014534,-130.39747041763766,0.10114583572558473,0.10114603738819362,5.371119129293369e-10,0.020994476323208847,0.5811911394084096,22.943294866693194,0.8890195407640022
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1053.csv,24,0.0037497125669713,0.7485609714483157,0.7485609714483146,0.738687392741152,-227.3398323480482,-224.71126091947667,-226.41542697278143,0.03355688522743011,0.03355688594011217,8.633034311916905e-10,0.00614839069614934,4.753112529928172,24.54111111111111,5.278109176212595
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/28.csv,24,0.0594508078252638,0.8912759955726797,0.8912759955726796,0.8411501877466865,-204.57631413267072,-201.9477427040993,-195.4767962808887,0.27423987261972227,0.2742398713845691,3.714411560460881e-08,0.2306809875933073,0.00518518518518518,1.3712962962962962,0.01428233101970637
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/987.csv,24,0.048911364468667,0.7169274897039413,0.9271049164208135,0.9173892918277982,-165.91975685494614,-195.8515507582039,-195.477287429475,0.1280649314945592,2.7996110572598147e-14,0.07829368460906899,0.07499160121902215,0.802962962962963,4.493518518518518,1.0474376343093852
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/891.csv,24,0.0023909204724802,0.8333672087332517,0.8492627127043395,0.8374133887366748,-171.98957709409783,-171.76710249012694,-172.5795375227341,0.02580910714641933,0.017814371052322715,0.0020515770015529324,0.002764208945210532,3.089219576719577,93.08824074074074,12.959958905298821
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/413.csv,24,0.0225730737366269,0.5366165894592503,0.8637605686311742,0.8468306835348396,-153.0465123650143,-179.7973237201365,-179.61477297725068,0.07815126699328266,1.1245939987561732e-13,0.03928144730442365,0.037722697970161284,2.632580037664783,6.046709470304976,3.7608209854677295
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/293.csv,24,0.0040935843187478,0.7035062487093197,0.7035062487087556,0.5361850127618355,-87.21940882128168,-84.59083739266457,-76.48037854129836,0.10889697789767355,0.10889703127269232,2.497259066229598e-10,0.006965289773101683,0.08215773809523809,241.1886154565132,35.64889334287347
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/406.csv,24,0.0189996545087827,0.7214498829198985,0.8933053660134551,0.8926608856859168,-172.96097836627027,-193.3634580673908,-195.84749551726907,0.1062549953761304,2.6149588595724565e-08,0.04798801585490761,0.047530454500890974,2.6343393695506374,6.07328264639189,3.7637826832876033
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/113.csv,24,0.0003887771130801,0.936225985482702,0.9362259854827019,0.9045254314638501,-169.90305951558787,-167.27448808701644,-160.2187210542396,0.029722380425457162,0.029722380484100412,4.937268332003761e-14,0.0013694720826472398,2.793586005830904,455.60527749404156,4.985685454644581
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/278.csv,24,0.0030876967534928,0.5109464977358144,0.5109464977358347,0.42017929026237955,-104.98183044309732,-102.3532590145269,-100.8959014941954,0.07004226371119292,0.07004225866008951,4.430469833548078e-13,0.003377969262029679,34.30412870711378,343.373546856465,146.26813849577326
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/296.csv,24,0.004828357990105,0.4879695734844852,0.48796957348454106,0.38119274188146035,-144.34315175566255,-141.71458032709373,-139.79731660575138,0.05377593055843885,0.053775925875930636,9.529337733526387e-11,0.008115508573990224,0.23222222222222222,44.91977401129943,2.7939861875503027
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/455.csv,24,0.0130230867048333,0.5009622777482939,0.7801663012012292,0.7779047025100401,-108.77822704133443,-125.82510383600912,-128.20803018181064,0.09628452640213414,1.0275832775215278e-14,0.04220883742951647,0.04188066991862767,2.6292957746478876,14.096481481481483,4.167634724572552
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/919.csv,10,0.0030664861242168,0.5808351436965729,0.5808351436840611,0.34703204712327296,-37.78350536724759,-33.497791081234816,-33.350867797495205,0.05285098077311733,0.052851177362528284,4.574439813431113e-13,0.0019226425180031768,70.72777777777779,528.7147766323023,312.9149162202223
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/453.csv,24,0.0110069150648237,0.6614742567132882,0.7578721285445255,0.719562237538629,-122.16243274748281,-127.57708114642078,-126.68039244893176,0.11111069559011878,0.07698615095196637,0.03133672899957977,0.03877116653903727,2.6333333333333333,16.482341269841267,4.3088328670283635
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/867.csv,24,0.0100400243834314,0.622835460927261,0.7257916043386554,0.7257372291874437,-107.47380891517311,-112.49627308632195,-115.12008581940263,0.06291562736061496,0.0026303612394074005,0.00929778699185294,0.009208386441446613,0.3697486772486772,68.67975858867224,3.920781815764338
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/951.csv,24,0.0187514346994741,0.9826754770064646,0.9826754770064658,0.881195098115273,-122.25751699087617,-119.62894556230637,-76.0488852498282,0.19192875449575514,0.19192875784849356,7.576020730417585e-16,0.025107891534813992,0.00222222222222222,69.42578364679206,0.33847673291432073
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/540.csv,24,0.0637526408367654,0.9545371659739194,0.9545371659739174,0.8479889461506428,-155.45297451515506,-152.82440308658263,-126.48358051544785,0.22463443484641527,0.22463444265184423,1.7507701078918934e-13,0.08546989653260376,0.03321428571428571,6.910396825396826,0.6797125024145729
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/973.csv,24,0.00436677447715,0.6794023891928891,0.7012128112040946,0.6883506309576284,-131.76546224654527,-130.82781588363264,-132.44485542761691,0.048938856171231074,0.043336065063958006,0.0018490562273145955,0.0031040354631546104,108.47777777777777,228.4901851851852,139.01949625925147
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/583.csv,24,0.0045410017630792,0.7567628048340149,0.7567628048338523,0.5745750097175815,-134.69462261483923,-132.0660511862518,-121.27738499800601,0.0638195787319804,0.06381962769009178,1.3776329689943255e-10,0.006510711359192259,0.1297450424929178,105.18487394957984,2.9891875423143115
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/414.csv,24,0.0193081319912512,0.41722937319554887,0.7227883392024141,0.7022894682649673,-143.97849707034263,-159.182221804674,-160.09862575477814,0.06439302225469845,8.155219769847238e-14,0.03283688525967333,0.031498903936257795,2.6347551978537895,5.965309922851821,3.7498227415404344
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/675.csv,24,0.0065640904764761,0.9482692326251138,0.9482692326251138,0.8426529042991806,-141.98870741851692,-139.36013598994552,-115.29107267544535,0.10666386234778152,0.10666386241440781,2.77628413767149e-11,0.012360329671276378,3.177967900252023,86.27165343915344,18.979972226253636
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1003.csv,24,0.0002639780721188,0.9466250244261196,0.9466250244261136,0.8606255777185062,-119.53014507463182,-116.90157364605768,-96.4944174772604,0.030596403795494654,0.030596404710369954,2.7611815829974405e-13,0.0006447498556263523,46.28588588588589,2438.9253561253563,111.99343994182242
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/423.csv,24,0.0130623650497487,0.5443638829691366,0.7564323007480374,0.7562421843197377,-110.7150661149329,-123.11768442463874,-125.72752999391959,0.11176808685712955,4.837908991256629e-09,0.04769890201270751,0.04739431278961896,2.6403085177733066,14.301223544973546,4.191367987650524
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/868.csv,24,0.0065760518708647,0.4172354923802002,0.41723549238020086,0.2653360026201178,-86.80112874446425,-84.17255731589283,-81.24200693099627,0.07876648247013496,0.07876648558489877,6.5303614185083836e-15,0.01041872963470415,1.4241137566137565,66.9812441968431,6.753365615913169
