vm,n_bins,alpha,beta,r2_mu,gamma,delta,r2_sigma,lam_min,lam_max
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/196.csv,24,0.05343221761395079,0.5982766816198085,0.2876433292074516,-0.8563456642745845,2.5875796515097953,0.2667644291568255,5.864391353811148,30.030785123966947
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/43.csv,24,0.0010259559352731042,0.7512894078013339,0.184672542797931,-0.011651800143566713,2.3323424681395455,0.0017186944291466277,0.12385185185185184,495.9647345579929
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/257.csv,24,0.019869295635017947,-0.49923155519207235,0.03745114815257289,-0.02207602305554215,0.2588492611858419,0.028655052045550522,0.16238361266294224,1.658888888888889
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/193.csv,24,0.09515965141384439,0.5148610903190833,0.46344733682493733,-0.1568857082587733,2.470027376758174,0.01669533053900818,5.345911949685535,17.48765432098765
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/415.csv,24,0.012273361949600195,-0.04706186840824457,0.0831431461122869,-8.975013288800069,1.3467046046916382,0.10090101509299909,121.89433611884866,146.07973484848483
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/220.csv,24,-0.0009180598150793224,-0.17981268915018359,0.0035170734485807653,-0.12080673913670381,0.6136128048515503,0.048002931098548474,0.30067460317460315,213.79722222222222
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/331.csv,24,0.03617379064744235,-0.09239253153618751,0.06419041703880601,-0.12841490801788727,0.3516150633900421,0.1337662851216913,0.40199735449735446,0.9286507936507936
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/324.csv,24,0.0015862570768460816,1.759332604215374,0.8152636558057923,-0.3554042151338118,0.49406623127825205,0.4394525794412445,0.5657407407407407,402.9260909935005
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/66.csv,24,0.005061305158797031,-0.09689677251659752,0.41041180618477824,-4.428146631101811,2.6069550967655735,0.1972768073662967,54.5133097762073,256.09308176100626
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/67.csv,24,0.0007535820166424518,0.10663331127927282,0.0207673813010536,-0.1286657624894241,2.021883015950261,0.0002364285297009605,36.27232037691401,322.2425844346549
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/49.csv,24,0.0004376844481999872,1.1182723220366468,0.0790800273662784,0.017350271029119003,2.475336058264368,0.0034371153337610094,0.5432396251673359,477.4152873563218
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/122.csv,24,0.01691965025891415,0.4467239685641843,0.6706516591147387,-0.8333593492140493,0.6689031551440136,0.642865490783765,1.8900432900432902,12.649189095928225
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/141.csv,24,0.021834587370271517,0.42186101116321895,0.28581093693578896,-0.0022123057319227844,0.11672290619535057,8.344769920287654e-06,2.5780872794800374,4.4564814814814815
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/94.csv,24,5.448620603800492e-05,1.0970524568392903,0.1354070532087217,-6.636187399123323,1.3294255386503455,0.037843118093472294,2123.5885065586185,5847.689629629629
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/294.csv,24,0.048153234950525085,0.015605004804444598,0.9497162215430521,-0.5322854220492989,0.8453245183745498,0.939855100926486,0.48632275132275127,6.015653235653235
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/226.csv,24,0.0004434697463080302,2.372725838141622,0.004583036194966916,-0.0016227496560061467,0.03629829358841941,0.0037023068554007388,0.17988095238095236,5.432380952380952
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/rnd/rnd/2013-8/119.csv,24,0.009150516493337575,0.5750805716238808,0.5348789291936431,-1.0209871427668837,0.7307539482407099,0.7917204485560584,2.5644320297951584,14.097513227513225
