rm_m,rm_share,rm_hr,ln_K,ln_share,ln_hr,share_diff_ln_minus_rm
0.7,0.3284433577832111,4.147726148434287,1.6,0.537082314588427,4.631620320541928,0.20863895680521594
0.75,0.37102689486552565,4.515420873322451,1.6,0.537082314588427,4.631620320541928,0.1660554197229014
0.8,0.4156479217603912,4.883115598210615,1.6,0.537082314588427,4.631620320541928,0.12143439282803581
0.85,0.45843520782396086,5.250810323098778,1.6,0.537082314588427,4.631620320541928,0.07864710676446618
0.9,0.5488997555012225,5.618505047986942,1.7,0.5727383863080685,5.920961620653796,0.023838630806846006
0.95,0.6393643031784841,5.986199772875105,1.7,0.5727383863080685,5.920961620653796,-0.06662591687041564
1.0,0.8209046454767727,6.353894497763268,1.7,0.5727383863080685,5.920961620653796,-0.24816625916870416
1.05,0.8816218418907905,6.721589222651431,1.7,0.5727383863080685,5.920961620653796,-0.308883455582722
1.1,0.9083129584352079,7.089283947539597,1.8,0.6004482477587612,7.549076489931696,-0.3078647106764467
1.15,0.9182966585167074,7.456978672427759,1.8,0.6004482477587612,7.549076489931696,-0.31784841075794623
1.2,0.9274653626731867,7.824673397315921,1.8,0.6004482477587612,7.549076489931696,-0.32701711491442553
1.25,0.9325590872045639,8.192368122204085,1.8,0.6004482477587612,7.549076489931696,-0.3321108394458028
1.3,0.9382640586797066,8.560062847092249,1.8,0.6004482477587612,7.549076489931696,-0.3378158109209455
1.35,0.9425427872860636,8.927757571980413,1.9,0.6297881010594947,9.607314349497857,-0.3127546862265689
1.4,0.9449877750611247,9.295452296868573,1.9,0.6297881010594947,9.607314349497857,-0.31519967400163007
1.45,0.9484515077424613,9.663147021756739,1.9,0.6297881010594947,9.607314349497857,-0.31866340668296667
1.5,0.952118989405053,10.030841746644901,1.9,0.6297881010594947,9.607314349497857,-0.32233088834555834
1.55,0.9531377343113284,10.398536471533067,1.9,0.6297881010594947,9.607314349497857,-0.32334963325183375
1.6,0.9555827220863896,10.766231196421229,1.9,0.6297881010594947,9.607314349497857,-0.32579462102689494
1.65,0.9582314588427058,11.133925921309393,2.0,0.6542379788101059,12.211933704282007,-0.30399348003259985
1.7,0.9592502037489813,11.501620646197557,2.0,0.6542379788101059,12.211933704282007,-0.30501222493887536
1.75,0.9602689486552567,11.86931537108572,2.0,0.6542379788101059,12.211933704282007,-0.30603096984515077
1.8,0.9623064384678076,12.237010095973885,2.0,0.6542379788101059,12.211933704282007,-0.3080684596577017
1.85,0.9639364303178484,12.604704820862048,2.0,0.6542379788101059,12.211933704282007,-0.30969845150774244
1.9,0.9659739201303994,12.97239954575021,2.0,0.6542379788101059,12.211933704282007,-0.3117359413202935
1.95,0.9669926650366748,13.340094270638373,2.0,0.6542379788101059,12.211933704282007,-0.3127546862265689
2.0,0.969437652811736,13.707788995526538,2.0,0.6542379788101059,12.211933704282007,-0.31519967400163007
