vm,n_bins,lam_min,lam_max,alpha_mu,beta_mu,r2_mu,gammaA,deltaA,r2A,alpha_sig,sigma_eps,r2B
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1044.csv,24,2.317221625492303,211.26012269938647,0.00221697972400669,-1.093256327573545,0.7541778448831139,-0.6975274451508103,0.7900957223017534,0.7035622489094799,0.06602826753052983,0.35653998642672224,0.8156169308337691
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/380.csv,24,2.566049631120054,3.885205026455026,0.11012089579391758,0.20291380766708417,0.7774202408887079,-0.10472878338538227,0.2980130531088203,0.0034136543226012117,0.0726789242678888,0.20047105726861716,0.00508916680056104
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/324.csv,24,0.021296296296296296,0.8100278551532032,0.11472132539889086,1.3029610017405666,0.0324262092869565,-0.012339907080395649,0.4743911850812279,0.012040803044436554,0.402083137916323,0.3917557107227336,0.02203787710763616
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/285.csv,24,3.5228195937873354,627.1763313609467,-0.00022980088506982342,0.16022385132217146,0.018292046336148227,0.6231512048643032,1.9692123508930857,0.0799617513507398,8.352210994400548e-15,2.040844686322468,0.0
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/879.csv,24,0.5811911394084096,22.943294866693194,0.006932075938285284,1.2345595848764943,0.6306172667704727,-0.32976257800080355,0.5321951583418975,0.8568963192151431,0.10114583572558473,0.09202695379846734,0.7468703898492041
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/962.csv,24,0.15081481481481482,3.7367601246105924,0.045269071761985816,-1.5377315397533566,0.05442114347217841,-0.09841559272860767,0.6908196197190117,0.3523047534637658,0.3175059274514233,0.43612017572075873,0.5954951218357849
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/651.csv,24,5.4411522633744855,19.364066193853425,0.09809774765552091,0.1355760182922626,0.40755863140881365,-1.4601909967671842,2.76880035420706,0.2809290071042799,0.2804461134935733,2.1099947236273753,0.14672313953738092
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1057.csv,24,0.2159420289855072,51.08001390337158,0.0006089850667076182,-0.09751465318445121,0.42553753387817805,-0.04584274359268379,0.21730767073236304,0.5967434005471769,0.03755004115610283,0.1253518219167429,0.8201675814197535
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/1053.csv,24,4.753112529928172,24.54111111111111,0.0037497125669713883,-0.10879418908944967,0.8285376221863675,-0.26203822102968644,0.24565517864202052,0.7385234942203334,0.03355688522743011,0.10335706081447554,0.7485609714483157
../../../../tmp/claude/E--Projects-Submitted-Amdocs/34878466-835f-474b-a49b-ee8b3bc3dbdb/scratchpad/bitbrains/fastStorage/2013-8/276.csv,24,9.145323741007195,584.4774328984855,-0.00026263798822096174,0.7294656863905462,0.026997422249256164,0.30461037578160377,2.1549084591116157,0.024993108060878066,7.253976838253278e-10,2.190055947199033,-2.220446049250313e-16
