nominal,realized_mean_cov,share_at_nominal,median_headroom,method
0.9,0.8892130956426989,0.6907090464547677,-0.032673479039923126,lognorm
0.95,0.9382226272662925,0.7361450692746536,0.0573627849924634,lognorm
0.99,0.9735703816610833,0.7288101059494703,0.296823011622714,lognorm
0.998,0.9848379883877765,0.8117359413202934,0.5461756610735432,lognorm
0.999,0.9870473018214465,0.8325183374083129,0.6667874149183239,lognorm
0.9,0.8894177067526123,0.6831703341483293,-0.03908372865358136,gauss
0.95,0.9260794715336799,0.6903015484922576,0.019620776223371255,gauss
0.99,0.9622683386481757,0.632436837815811,0.12485647507935387,gauss
0.998,0.9748535223380294,0.7341075794621027,0.23020396036903412,gauss
0.999,0.9777897809318868,0.7642624286878565,0.2735655976709177,gauss
0.9,0.8865457202780748,0.7013039934800326,-0.05558470327620388,empirical
0.95,0.9245841625361283,0.6780766096169519,-0.0034935103588368045,empirical
0.99,0.9659137981389535,0.654441727791361,0.06107242002291369,empirical
0.998,0.9766970544862458,0.7793398533007335,0.15643101627491127,empirical
0.999,0.9776731718937877,0.793398533007335,0.1788749019857174,empirical
