nominal,realized_mean_cov,share_at_nominal,median_headroom,method
0.9,0.8222754989311042,0.3739669421487603,-0.1914082145477514,lognorm
0.95,0.8917970411589698,0.4221763085399449,-0.12178296750246159,lognorm
0.99,0.9565869859580157,0.5461432506887053,0.023495276881991586,lognorm
0.998,0.9736462888817717,0.628099173553719,0.1587876016215617,lognorm
0.999,0.97660893420939,0.7017906336088154,0.215574602204998,lognorm
0.9,0.8183352650003136,0.35003443526170797,-0.1946253298352712,gauss
0.95,0.8757983411690529,0.3333333333333333,-0.14319140554412588,gauss
0.99,0.9368932259708226,0.3424586776859504,-0.046414289906214344,gauss
0.998,0.9603665047428377,0.35296143250688705,0.029113535853115255,gauss
0.999,0.9655293599863831,0.4275137741046832,0.058462550970583414,gauss
0.9,0.8373020188589251,0.43078512396694213,-0.1931122369385621,empirical
0.95,0.9036837972834033,0.4621212121212121,-0.11656111127943557,empirical
0.99,0.9607733668691301,0.5378787878787878,0.0,empirical
0.998,0.9737425981477532,0.534263085399449,0.08172150696215985,empirical
0.999,0.9758192668613735,0.5933195592286501,0.10806123604585519,empirical
